ENST00000632506	ENSG00000282458
ENST00000633719	ENSG00000282458
ENST00000633703	ENSG00000282458
ENST00000634023	ENSG00000282458
ENST00000632496	ENSG00000282458
ENST00000632089	ENSG00000282458
ENST00000631796	ENSG00000282458
ENST00000633742	ENSG00000282458
ENST00000631994	ENSG00000282458
ENST00000632280	ENSG00000282542
ENST00000631744	ENSG00000282798
ENST00000632292	ENSG00000282458
ENST00000633603	ENSG00000282807
ENST00000408051	ENSG00000283801
ENST00000631376	ENSG00000282591
ENST00000632948	ENSG00000282591
ENST00000633500	ENSG00000282137
ENST00000641173	ENSG00000267310
ENST00000641984	ENSG00000267310
ENST00000588632	ENSG00000267310
ENST00000585993	ENSG00000176695
ENST00000618231	ENSG00000176695
ENST00000641591	ENSG00000176695
ENST00000318050	ENSG00000176695
ENST00000586141	ENSG00000267792
ENST00000589943	ENSG00000266971
ENST00000633154	ENSG00000282535
ENST00000632397	ENSG00000281379
ENST00000633205	ENSG00000281379
ENST00000587432	ENSG00000281379
ENST00000632944	ENSG00000282059
ENST00000632679	ENSG00000282416
ENST00000633895	ENSG00000282051
ENST00000633286	ENSG00000282051
ENST00000632790	ENSG00000282508
ENST00000633808	ENSG00000282508
ENST00000632102	ENSG00000282508
ENST00000631858	ENSG00000282508
ENST00000632795	ENSG00000282339
ENST00000633402	ENSG00000282508
ENST00000631764	ENSG00000282508
ENST00000632747	ENSG00000282508
ENST00000633344	ENSG00000282508
ENST00000631412	ENSG00000282508
ENST00000631484	ENSG00000282508
ENST00000631864	ENSG00000282508
ENST00000634022	ENSG00000282508
ENST00000631988	ENSG00000282508
ENST00000631797	ENSG00000282508
ENST00000633773	ENSG00000282508
ENST00000633199	ENSG00000282508
ENST00000633592	ENSG00000282508
ENST00000632086	ENSG00000282508
ENST00000633951	ENSG00000282508
ENST00000633363	ENSG00000282508
ENST00000632351	ENSG00000282508
ENST00000631401	ENSG00000282508
ENST00000631832	ENSG00000282508
ENST00000634025	ENSG00000282508
ENST00000632405	ENSG00000282508
ENST00000631772	ENSG00000282508
ENST00000633151	ENSG00000282508
ENST00000633674	ENSG00000282508
