ENSMUST00000237047	ENSMUSG00000100969
ENSMUST00000190575	ENSMUSG00000100969
ENSMUST00000236704	ENSMUSG00000100969
ENSMUST00000235610	ENSMUSG00000117761
ENSMUST00000101978	ENSMUSG00000118966
ENSMUST00000235785	ENSMUSG00000118182
ENSMUST00000235916	ENSMUSG00000100969
ENSMUST00000189643	ENSMUSG00000100969
ENSMUST00000191405	ENSMUSG00000100969
ENSMUST00000190668	ENSMUSG00000100969
ENSMUST00000190982	ENSMUSG00000100969
ENSMUST00000190259	ENSMUSG00000100969
ENSMUST00000237449	ENSMUSG00000117928
ENSMUST00000236616	ENSMUSG00000118393
ENSMUST00000236294	ENSMUSG00000118052
ENSMUST00000235308	ENSMUSG00000118052
ENSMUST00000236416	ENSMUSG00000118203
ENSMUST00000237524	ENSMUSG00000117886
ENSMUST00000025751	ENSMUSG00000024831
ENSMUST00000119292	ENSMUSG00000024831
ENSMUST00000154537	ENSMUSG00000024831
ENSMUST00000143079	ENSMUSG00000024831
ENSMUST00000025745	ENSMUSG00000024829
ENSMUST00000139844	ENSMUSG00000024829
ENSMUST00000155870	ENSMUSG00000024829
ENSMUST00000025743	ENSMUSG00000024829
ENSMUST00000141610	ENSMUSG00000024829
ENSMUST00000154785	ENSMUSG00000024829
ENSMUST00000185105	ENSMUSG00000099261
ENSMUST00000237542	ENSMUSG00000118213
ENSMUST00000237938	ENSMUSG00000024900
ENSMUST00000025835	ENSMUSG00000024900
ENSMUST00000235968	ENSMUSG00000024900
ENSMUST00000237562	ENSMUSG00000024900
ENSMUST00000238015	ENSMUSG00000024900
ENSMUST00000237457	ENSMUSG00000024900
ENSMUST00000237444	ENSMUSG00000024900
ENSMUST00000238027	ENSMUSG00000024900
ENSMUST00000025840	ENSMUSG00000024905
ENSMUST00000151341	ENSMUSG00000024905
ENSMUST00000127142	ENSMUSG00000024905
ENSMUST00000142193	ENSMUSG00000024905
ENSMUST00000237521	ENSMUSG00000024907
ENSMUST00000025842	ENSMUSG00000024907
ENSMUST00000025846	ENSMUSG00000024908
ENSMUST00000172362	ENSMUSG00000024908
ENSMUST00000113997	ENSMUSG00000024908
ENSMUST00000225475	ENSMUSG00000024908
ENSMUST00000225624	ENSMUSG00000024908
ENSMUST00000223919	ENSMUSG00000024908
ENSMUST00000225705	ENSMUSG00000024908
ENSMUST00000225446	ENSMUSG00000024908
ENSMUST00000224419	ENSMUSG00000114315
ENSMUST00000101958	ENSMUSG00000075908
ENSMUST00000225339	ENSMUSG00000024908
